year,winter,spring,summer,autumn,annual
1874,247.9,130.4,216,382.2,1090
1875,383.8,150.8,312.3,476.8,1230
1876,228.2,209.3,180.5,400.8,1191
1877,478.8,277.3,297.1,351.1,1271
1878,230.3,249.2,279.2,342.1,1103
1879,345.2,179.8,441.1,176.9,1101
1880,195.9,159,222.2,368.6,1046
1881,327.1,191.9,266.9,274.8,1033
1882,299.5,239.9,353.1,431.1,1358
1883,438.7,116.7,233.6,429.3,1122
1884,316.7,184.8,196,189,961
1885,359.2,210.4,144.5,451.4,1081
1886,234.3,279.7,170.9,391.5,1207
1887,298.8,135.2,113,282,740
1888,173,196.1,327.7,273.5,993
1889,230.7,249.4,201.4,235.2,870
1890,239.1,185.9,248.4,231.5,891
1891,146.6,203.9,293.8,387.2,1134
1892,295.7,97,206.6,270.5,775
1893,262.7,65.5,203.1,248.3,841
1894,317.7,217.2,261,358.3,1130
1895,226,168.8,210.9,297.6,925
1896,181.3,135.3,161.9,327.9,870
1897,361.9,266.8,253.4,237.6,1104
1898,269.8,187.2,154.9,292.8,861
1899,420.1,192.9,125.7,246.1,959
1900,388.4,138.7,204,276.7,1073
1901,290.7,210.5,196.6,208,913
1902,275.1,180.7,213.6,268.8,859
1903,291.3,288.6,281.3,431.2,1321
1904,406.2,173.7,206,205.8,967
1905,189.3,239.3,232.3,233.1,841
1906,321.2,189.2,162.7,283.6,1008
1907,194.7,215.9,242.2,291.3,994
1908,269,230.4,214.5,186.8,872
1909,192.5,230.5,198,279.1,939
1910,403.8,164.8,292,306,1189
1911,286.1,147.8,145,303.4,933
1912,424.7,217.8,445.4,230.2,1246
1913,365.6,333.4,96,316,1033
1914,242.3,254.8,247.4,248.1,1123
1915,496.2,140.3,219.4,226.7,1101
1916,446.3,213.8,202.2,365.3,1104
1917,182.5,215,327.9,285.6,942
1918,227.3,149.7,220.3,373.3,1104
1919,414.8,230.6,150.5,188.5,995
1920,358.6,317.6,237.3,252.4,1100
1921,233.8,153.6,128.4,185.3,665
1922,314.1,215.9,244.2,178.3,1035
1923,459.2,196,162.7,352.7,1125
1924,278.2,254.6,310.4,385.7,1284
1925,432.8,215.5,187.2,316.3,1103
1926,355.1,142.2,216.8,344.6,962
1927,263.5,193.3,329.4,322.7,1174
1928,380.3,179.9,221.2,339.5,1156
1929,220.2,122.7,182.8,457.5,1094
1930,429.9,207.1,226.9,405.4,1174
1931,332.1,243.4,322,278.9,1103
1932,204.4,265.9,172.5,396.8,1053
1933,271.3,178.2,160.5,214.5,797
1934,165,198.8,166.8,224.8,958
1935,397.5,198.1,189.3,481,1132
1936,341.2,185.3,278.6,267.4,1082
1937,466.5,244.1,120.4,214.1,1010
1938,291.8,96.7,253.1,367.4,1031
1939,364.5,152.3,300.3,338,1116
1940,257.2,189.8,130.2,394.5,987
1941,305.6,186.5,227.7,181.5,906
1942,233.1,285.3,181.4,216.6,961
1943,385.3,168.3,226.2,293,1001
1944,195.9,104.6,219.7,423.7,967
1945,288.4,164.8,257.9,197.5,971
1946,374.4,189.2,292.8,390.3,1214
1947,260.9,386.3,155.7,202.1,984
1948,361.6,194.9,245.6,254.9,1121
1949,251.5,204.3,96.5,384,871
1950,316.2,175.4,303.4,389.9,1179
1951,328.5,279.4,186.6,323.5,1135
1952,252.4,228,220.1,338.2,1032
1953,182.7,205.6,238.7,258.5,818
1954,209.9,180.9,310.3,450.5,1220
